Station,year,utm_x,utm_y,startdate,1stofyear,date1,date2,date3,date4,date5
3A1,2016,526306,4655430,6/1/2016,1/1/2016,152,166,180,194,208
3A2,2016,530055,4653839,6/1/2016,1/1/2016,152,166,180,194,208
3A3,2016,533509,4653328,6/1/2016,1/1/2016,152,166,180,194,208
3A4,2016,534416,4652202,6/1/2016,1/1/2016,152,166,180,194,208
3A5,2016,531192,4651184,6/1/2016,1/1/2016,152,166,180,194,208
3A6,2016,523571,4651105,6/1/2016,1/1/2016,152,166,180,194,208
3A7,2016,524532,4643677,6/2/2016,1/1/2016,153,167,181,195,209
3A8,2016,530248,4644569,6/2/2016,1/1/2016,153,167,181,195,209
3A9,2016,535313,4648096,6/2/2016,1/1/2016,153,167,181,195,209
3B1,2016,548596,4637130,6/3/2016,1/1/2016,154,168,182,196,210
3B2,2016,545748,4640319,6/2/2016,1/1/2016,153,167,181,195,209
3B3,2016,540750,4642216,6/1/2016,1/1/2016,152,166,180,194,208
3B4,2016,545756,4646589,6/2/2016,1/1/2016,153,167,181,195,209
3B5,2016,549718,4641515,6/2/2016,1/1/2016,153,167,181,195,209
3B6,2016,552511,4638677,6/3/2016,1/1/2016,154,168,182,196,210
3B7,2016,555686,4642960,6/2/2016,1/1/2016,153,167,181,195,209
3B8,2016,543105,4648865,6/2/2016,1/1/2016,153,167,181,195,209
3B9,2016,548696,4633810,6/3/2016,1/1/2016,154,168,182,196,210
3C1,2016,522456,4602456,6/8/2016,1/1/2016,159,173,187,201,215
3C2,2016,526644,4600421,6/8/2016,1/1/2016,159,173,187,201,215
3C3,2016,521156,4588541,6/8/2016,1/1/2016,159,173,187,201,215
3C4,2016,510187,4595105,6/8/2016,1/1/2016,159,173,187,201,215
3C5,2016,529291,4596490,6/8/2016,1/1/2016,159,173,187,201,215
3C6,2016,519977,4596541,6/8/2016,1/1/2016,159,173,187,201,215
3C7,2016,517639,4603018,6/8/2016,1/1/2016,159,173,187,201,215
3C8,2016,519845,4592144,6/8/2016,1/1/2016,159,173,187,201,215
3C9,2016,515791,4600516,6/8/2016,1/1/2016,159,173,187,201,215
3D1,2016,549453,4610685,6/9/2016,1/1/2016,160,174,188,202,216
3D2,2016,546005,4595293,6/9/2016,1/1/2016,160,174,188,202,216
3D3,2016,553642,4605576,6/9/2016,1/1/2016,160,174,188,202,216
3D4,2016,540905,4598375,6/9/2016,1/1/2016,160,174,188,202,216
3D5,2016,550124,4600944,6/9/2016,1/1/2016,160,174,188,202,216
3D6,2016,553139,4600533,6/9/2016,1/1/2016,160,174,188,202,216
3D7,2016,552335,4593863,6/9/2016,1/1/2016,160,174,188,202,216
3D8,2016,557969,4607251,6/9/2016,1/1/2016,160,174,188,202,216
3D9,2016,546030,4603884,6/9/2016,1/1/2016,160,174,188,202,216
4A1,2016,496009,4719618,6/9/2016,1/1/2016,160,174,188,202,216
4A2,2016,497110,4723005,6/9/2016,1/1/2016,160,174,188,202,216
4A3,2016,500194,4717961,6/9/2016,1/1/2016,160,174,188,202,216
4A4,2016,497296,4712995,6/10/2016,1/1/2016,161,175,189,203,217
4A5,2016,505190,4711408,6/10/2016,1/1/2016,161,175,189,203,217
4A6,2016,491693,4717333,6/9/2016,1/1/2016,160,174,188,202,216
4A7,2016,491463,4714079,6/9/2016,1/1/2016,160,174,188,202,216
4A8,2016,490991,4722654,6/9/2016,1/1/2016,160,174,188,202,216
4A9,2016,493863,4720897,6/9/2016,1/1/2016,160,174,188,202,216
4B1,2016,509588.747,4710101.013,6/10/2016,1/1/2016,161,175,189,203,217
4B2,2016,520024.479,4649804.497,6/10/2016,1/1/2016,161,175,189,203,217
4B3,2016,523418.199,4717273.778,6/10/2016,1/1/2016,161,175,189,203,217
4B4,2016,517479.585,4713011.186,6/10/2016,1/1/2016,161,175,189,203,217
4B5,2016,511409.503,4716867.227,6/10/2016,1/1/2016,161,175,189,203,217
4B6,2016,512032.174,4705440.045,6/13/2016,1/1/2016,164,178,192,206,220
4B7,2016,525318.902,4712503.43,6/10/2016,1/1/2016,161,175,189,203,217
