FID,plot_id,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,elevation,forest_edge,X,Y,random,PO_join_count_truncated
0,1,0.000359874,0.020422852,0.038596491,0.012595592,0.002339181,0.000269906,0.286369771,0.04894287,0.025910931,0.006207827,0.005578048,0.2422852,0.168241116,0.098335583,0.043544759,0.851008773,205.8896027,69.51566952,622621.9991,4642778.022,0.321526251,0
1,2,0.001619288,0.048038863,0.007466715,0.002608852,9.00E-05,0.002338971,0.213925873,0.046869377,0.239384671,0.000809644,9.00E-05,0.407790572,0.017002519,0.010435408,0.001529327,1.458931684,430.7996521,64.32169845,379126.6192,4661751.688,0.587464749,0
2,3,0.025461089,0.046153846,0.017993702,0.003508772,0.000449843,0,0.152046784,0.025910931,0.011875843,0.006297796,0,0.105263158,0.557264957,0.046603689,0.001169591,1.515739202,350.5401917,41.5954416,375964.3415,4737646.352,0.391123557,0
3,4,0.002070953,0.136322708,0.09013146,0.014406627,0,0,0.240860796,0.28615163,0.20430398,0.000810373,0.001080497,0.007653521,0.006392941,0.009634432,0.000180083,1.675711036,24.36483574,153.4005643,733301.7171,4541585.137,0.43274153,4
4,5,0.006564158,0.014387195,0.001978239,0.0004496,8.99E-05,8.99E-05,0.637712436,0.035967988,0.009351677,0.023019513,0.006384318,0.152324431,0,0.083535653,0.028144951,0.901890397,131.490799,80.2985343,461345.8384,4921058.456,0.907975727,0
5,6,0.18147482,0.110611511,0.143794964,0.112140288,0.014388489,0.049190647,0.311600719,0.00044964,0.001438849,0.002248201,0.020683453,0.013758993,0,0.024820144,0.013399281,3.92852354,66.13322449,80.99520384,584674.6672,4566883.358,0.149591907,5
6,7,0,0.020778987,0.032922551,0.004137807,0.000269857,0,0.147521813,0.035801025,0.006656472,0.037240263,0.012503373,0.605649006,0,0.087163803,0.009355042,1.69570446,118.1698532,56.22020329,420236.2288,4876786.569,0.136879162,0
7,8,0.003514147,0.043971887,0.005766805,0.00099117,0.000180213,0,0.42079654,0.015227969,0.085601009,0.004865742,0.001261489,0.200756893,0.14885565,0.064966661,0.003243828,1.67288363,356.0498047,73.13630083,214688.1809,4743970.907,0.256561018,0
8,9,0.285714286,0.017857143,0.017857143,0.008928571,0,0,0.294642857,0.013392857,0.026785714,0,0,0,0.285714286,0.035714286,0.013392857,0,217.4029083,136.9047619,494432.7816,4617436.229,0.703402597,0
9,10,0.012795098,0.063705172,0.049378266,0.017390521,0.004054785,0.000540638,0.167417553,0.00540638,0.021985943,9.01E-05,0.001802127,0.168048297,0.453955668,0.02820328,0.005226167,1.691124916,169.4774475,53.40301556,208363.6256,4788242.794,0.237346822,0
10,11,0.005846375,0.042453679,0.002068717,0.000179888,0,0.00062961,0.347634467,0.235024285,0.271001979,0.013491635,0.007195539,0.012232416,0,0.047670444,0.014570966,1.490341902,579.7355347,64.60994184,565701.0011,4712348.13,0.665295502,0
11,12,0.027068345,0.027697842,0.015557554,0.004766187,0.000629496,0.000359712,0.122931655,0.025539568,0.020503597,0.013758993,0.004586331,0.189208633,0.090467626,0.413848921,0.04307554,1.077760577,94.34599304,37.08033573,470832.6713,4936869.844,0.482514522,0
12,13,0.026261354,0.109632161,0.074377192,0.014209911,0.004586743,0.000179872,0.245705549,0.077614893,0.028150013,0.034085799,0.027970141,0.086248763,0.153790809,0.114578649,0.002608148,1.566671848,170.3422394,80.85259466,461345.8384,4791405.072,0.620248821,0
13,14,0.008005037,0.029681597,0.001888829,0.000539665,8.99E-05,0.004047491,0.326857348,0.271721533,0.049649217,0.030670984,0.001439108,0.106583918,0.014930743,0.143191221,0.010703364,1.053868055,199.1319733,84.33771062,429723.0618,4804054.183,0.299779062,0
14,15,0.017471182,0.046649856,0.009636167,0.002791787,9.01E-05,0,0.218479827,0.008735591,0.030979827,0.000630403,0.000990634,0.030259366,0.456772334,0.156610231,0.019902738,1.50310874,429.6300659,50.91258405,249473.2351,4728159.519,0.218313189,0
15,16,0.000180034,0.071113512,0.056980826,0.024754703,0.001080205,0.000450086,0.492663606,0.21721127,0.112071294,9.00E-05,0.002250428,0.017733369,0.003240616,0.000180034,0,3.084079266,46.64587021,52.87004531,689029.8299,4525773.748,0.934253358,0
16,17,0.023745278,0.041464292,0.011782695,0.00233855,0.000359777,0.014211189,0.379025004,0.012052527,0.140133117,0.00296816,0.00062961,0.211009174,0.098578881,0.046501169,0.015200576,1.327357531,334.0452271,56.42501649,442372.1724,4690212.187,0.603856524,0
17,18,0.003195776,0.029595665,0.014589412,0.00347367,0.000555787,0,0.182020286,0.183409754,0.01639572,0.01639572,0.031124079,0.247186328,0.142003613,0.126441573,0.003612616,0.644696236,80.61138153,51.1361007,616322.596,4983747.719,0.116523984,0
18,19,0.001080789,0.029091237,0.018103215,0.001801315,0,0,0.052238134,0,0.005313879,0,0,0.073403585,0.557146717,0.254525804,0.007295326,1.500337601,196.230423,21.13542886,236824.1245,4788242.794,0.894430528,0
19,20,0.391906475,0.025539568,0.014298561,0.004136691,0.000179856,0.014658273,0.287320144,0.021492806,0.030845324,0.000809353,0.032374101,0.104946043,0.004406475,0.026528777,0.040557554,2.636563778,20.63447571,48.92086331,587836.9448,4652264.855,0.445438107,3
20,21,0.006025722,0.050723986,0.028419822,0.018167101,0.00116917,0.003687382,0.449770663,0.010612465,0.025451929,0.03687382,0.00629553,0.134094793,0.197499775,0.02473244,0.006475402,1.485291839,351.6816711,80.79263723,407587.1181,4740808.629,0.049249644,9
21,22,0.015498288,0.1196612,0.067309425,0.023337538,0.003063615,0.005947017,0.221571454,0.004775635,0.075869526,0.012975311,0.004595423,0.292214813,0.039196252,0.105874932,0.008109569,3.852916241,223.2795868,87.22292305,205201.3479,4756620.018,0.451362611,4
22,23,0.003327637,0.037863117,0.021854483,0.013940103,0.00467668,0,0.316125551,0.018167101,0.044608328,0.00395719,0.018257038,0.236172318,0.200467668,0.070330066,0.010252721,1.383159399,406.4634705,50.12441167,486644.0597,4747133.185,0.726614065,0
23,24,0.001798561,0.043435252,0.008183453,0.001618705,0.000179856,0.00602518,0.235521583,0.052068345,0.281115108,0.010071942,0.001438849,0.334082734,0.006744604,0.010881295,0.006834532,1.403014302,415.4425049,61.66067146,429723.0618,4687049.909,0.220219597,0
24,25,0.000630176,0.058696435,0.010622974,0.001350378,0,0,0.554915376,0.058876485,0.206067699,0.013683831,0.001980555,0.055275477,0.01314368,0.024756932,0,1.582083464,493.7156067,63.46777098,290582.8447,4728159.519,0.593712982,0
