"","FID","FID_allNY_","Field1","X","Species","Date","Month","Day","Year","Week","Lat","Long","Method","FID_allNY1","FID_allNY_10km","Id","Shape_Leng","Shape_Area","FID_","Deciduous","bobcat","fisher","duplicate"
"1",0,1,2124,2124,"Canis latrans","4/6/12",4,6,2012,13,40.582548,-74.175168,"GBIF",13772,13773,0,17507.84701,8485508.801,13773,17.43034931,0.014287187,0.215397503,FALSE
"2",1,1170,65009,85613,"Canis latrans","4/11/18",4,11,2018,14,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"3",2,1171,65010,85614,"Canis latrans","7/22/18",7,22,2018,28,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"4",3,1172,65011,85615,"Canis latrans","7/29/18",7,29,2018,29,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"5",4,1173,65012,85616,"Canis latrans","7/30/18",7,30,2018,30,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"6",5,1174,65013,85617,"Canis latrans","12/11/18",12,11,2018,49,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"7",6,1175,65014,85618,"Canis latrans","4/8/19",4,8,2019,13,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"8",7,1176,65015,85619,"Canis latrans","7/9/19",7,9,2019,27,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"9",8,1177,65016,85620,"Canis latrans","7/18/19",7,18,2019,28,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"10",9,1178,65017,85621,"Canis latrans","8/1/19",8,1,2019,30,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"11",10,1179,65018,85622,"Canis latrans","8/8/19",8,8,2019,31,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
