FID,FID_allNY_,Field1,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,year,FID_allNY_OG,FID_allNY_10km
1,0,1,1,452678,4654105,0,0,0,2013,11292,11293
6,1,2,2,456117,4655209,0,0,0,2013,3710,3711
3,2,3,3,458283,4654783,0,0,0,2013,9488,9489
18,3,4,4,234868,4659186,0,0,0,2013,579,580
12,4,5,5,240906,4658779,0,0,0,2013,7341,7342
27,5,6,6,243391,4659556,0,0,0,2013,12936,12937
14,6,7,7,451781,4658948,0,0,0,2013,5326,5327
21,7,8,8,456025,4659255,NA,NA,0,2013,1805,1806
10,8,9,9,460328,4658569,0,0,0,2013,2432,2433
24,9,10,10,463533,4659508,0,0,0,2013,4760,4761
64,10,11,11,225064,4664630,0,0,0,2013,11642,11643
68,11,12,12,227416,4664663,0,0,0,2013,8784,8785
36,12,13,13,231289,4662867,0,0,0,2013,9135,9136
58,13,14,14,234556,4664434,0,0,0,2013,9683,9684
45,14,15,15,459204,4663088,0,0,0,2013,5021,5022
61,15,16,16,463436,4664539,0,0,0,2013,3527,3528
122,16,17,17,222354,4668171,0,0,0,2013,12530,12531
90,17,18,18,227200,4666404,0,0,0,2013,8784,8785
102,18,19,19,308730,4667375,NA,NA,NA,2013,1407,1408
194,19,20,25,223608,4671708,0,0,0,2013,11665,11666
201,20,21,26,227678,4671789,0,0,0,2013,7356,7357
214,21,22,27,247011,4672344,0,1,0,2013,5075,5076
172,22,23,28,249286,4671213,0,0,0,2013,10866,10867
189,23,24,29,308935,4671569,0,0,0,2013,7320,7321
186,24,25,30,305008,4671460,0,0,0,2013,9132,9133
151,25,26,32,469264,4669658,NA,NA,NA,2013,7317,7318
179,26,27,33,473368,4671309,0,NA,NA,2013,7864,7865
164,27,28,34,474007,4670880,0,0,0,2013,7864,7865
337,28,29,42,226656,4676400,0,0,0,2013,5534,5535
290,29,30,44,297181,4674817,0,0,0,2013,11951,11952
255,30,31,45,301518,4674064,0,0,0,2013,4133,4134
266,31,32,46,303568,4674198,0,0,0,2013,3203,3204
270,32,33,47,311978,4674238,0,0,NA,2013,7947,7948
245,33,34,48,317606,4673745,0,0,NA,2013,2394,2395
299,34,35,50,328185,4674947,0,0,0,2013,9701,9702
272,35,36,51,332499,4674423,0,0,0,2013,12384,12385
259,36,37,52,335942,4674069,0,0,NA,2013,6182,6183
236,37,38,54,467419,4673321,0,0,0,2013,12192,12193
250,38,39,55,472751,4673928,0,NA,0,2013,8901,8902
328,39,40,56,477183,4676203,0,0,0,2013,920,921
314,40,41,57,478730,4675441,0,0,0,2013,6175,6176
262,41,42,58,481877,4674153,0,0,0,2013,5803,5804
381,42,43,63,255587,4678131,0,0,0,2013,11785,11786
349,43,44,64,258770,4677105,0,0,0,2013,3834,3835
464,44,45,65,301106,4679688,0,0,0,2013,2614,2615
489,45,46,67,324359,4680466,NA,0,0,2013,2482,2483
468,46,47,68,328277,4679741,0,0,0,2013,12093,12094
461,47,48,69,331609,4679632,0,0,0,2013,6087,6088
390,48,49,70,335550,4678226,0,0,NA,2013,4055,4056
406,49,50,72,342962,4678610,0,0,0,2013,3880,3881
395,50,51,73,346558,4678262,0,0,0,2013,9857,9858
438,51,52,75,378559,4679104,0,NA,0,2013,12728,12729
420,52,53,76,382145,4678870,0,0,0,2013,4994,4995
418,53,54,77,398513,4678815,0,0,NA,2013,4926,4927
423,54,55,78,440180,4678907,0,0,0,2013,3412,3413
459,55,56,79,444261,4679592,0,0,0,2013,7444,7445
385,56,57,80,448243,4678206,0,0,0,2013,796,797
477,57,58,81,452022,4679914,0,0,0,2013,7452,7453
475,58,59,82,469029,4679893,0,NA,NA,2013,4694,4695
483,59,60,83,470386,4680092,NA,NA,0,2013,8873,8874
403,60,61,85,488147,4678442,0,0,0,2013,8278,8279
593,61,62,90,226233,4682752,0,0,0,2013,1323,1324
657,62,63,92,234630,4683355,0,0,0,2013,10710,10711
558,63,64,93,289919,4682303,0,0,0,2013,7677,7678
664,64,65,94,292872,4683529,0,0,0,2013,10523,10524
617,65,66,95,297709,4682894,0,0,0,2013,2047,2048
522,66,67,96,300952,4681839,NA,0,0,2013,2614,2615
629,67,68,97,325485,4683039,0,0,0,2013,2354,2355
546,68,69,98,328478,4682046,0,0,0,2013,12093,12094
581,69,70,99,332442,4682592,0,0,0,2013,1848,1849
623,70,71,100,335395,4682980,0,0,0,2013,10713,10714
643,71,72,102,343169,4683209,0,0,0,2013,235,236
588,72,73,103,379882,4682649,0,0,0,2013,10106,10107
553,73,74,104,381552,4682064,0,0,0,2013,2993,2994
551,74,75,105,394475,4682060,0,0,0,2013,12116,12117
510,75,76,106,398237,4681642,0,0,0,2013,5037,5038
529,76,77,107,410480,4681913,0,0,0,2013,2615,2616
636,77,78,108,435724,4683092,0,0,0,2013,461,462
575,78,79,109,440414,4682538,0,0,0,2013,6825,6826
519,79,80,110,443537,4681786,0,0,0,2013,12780,12781
626,80,81,111,448436,4683002,0,0,0,2013,7370,7371
562,81,82,112,451237,4682348,0,0,0,2013,5883,5884
524,82,83,113,456230,4681845,0,0,0,2013,1710,1711
543,83,84,117,486394,4682040,0,0,0,2013,6391,6392
651,84,85,118,492058,4683265,0,0,0,2013,12280,12281
566,85,86,119,495440,4682431,0,0,0,2013,12905,12906
711,86,87,126,226432,4685319,0,0,0,2013,1323,1324
884,87,88,127,232197,4688201,0,0,0,2013,5475,5476
837,88,89,128,269517,4687171,0,0,0,2013,3774,3775
745,89,90,129,285822,4686012,0,0,0,2013,606,607
739,90,91,130,289095,4685927,0,0,0,2013,2469,2470
773,91,92,132,301690,4686356,0,0,0,2013,11174,11175
735,92,93,135,325578,4685874,0,0,0,2013,6306,6307
827,93,94,136,329833,4686969,0,0,0,2013,2879,2880
690,94,95,137,332105,4684505,0,0,0,2013,1848,1849
820,95,96,138,335538,4686876,0,0,0,2013,3396,3397
701,96,97,139,361836,4684774,0,0,NA,2013,6756,6757
839,97,98,140,366786,4687171,0,0,0,2013,12862,12863
829,98,99,142,378550,4686975,0,0,0,2013,5573,5574
742,99,100,143,382020,4686010,0,0,0,2013,8944,8945
752,100,101,144,386231,4686087,0,0,0,2013,7474,7475
888,101,102,145,395659,4688343,0,0,0,2013,11024,11025
732,102,103,146,398954,4685866,0,0,0,2013,2124,2125
856,103,104,147,406263,4687371,0,0,0,2013,7379,7380
870,104,105,148,409535,4687692,0,0,0,2013,11212,11213
868,105,106,149,413370,4687689,0,0,0,2013,2286,2287
792,106,107,150,445272,4686525,0,NA,0,2013,7195,7196
849,107,108,151,449715,4687282,0,0,0,2013,8467,8468
818,108,109,152,481415,4686857,0,0,0,2013,1339,1340
763,109,110,154,491344,4686277,0,0,0,2013,9630,9631
785,110,111,156,499436,4686428,1,1,0,2013,10456,10457
1020,111,112,169,219935,4690638,0,0,0,2013,4012,4013
1104,112,113,170,224702,4691985,0,0,0,2013,3042,3043
1069,113,114,171,229311,4691426,0,0,0,2013,3130,3131
1012,114,115,172,230441,4690391,0,0,0,2013,3130,3131
896,115,116,173,233733,4688748,0,0,0,2013,706,707
911,116,117,174,250980,4689157,0,0,0,2013,1542,1543
927,117,118,175,255373,4689244,0,0,0,2013,10968,10969
1095,118,119,177,266232,4691891,0,0,0,2013,4236,4237
1015,119,120,178,269638,4690444,0,0,0,2013,6148,6149
947,120,121,184,329384,4689633,0,0,0,2013,4554,4555
1083,121,122,185,332794,4691738,0,0,0,2013,1615,1616
944,122,123,186,335770,4689490,0,0,0,2013,9010,9011
1135,123,124,188,359183,4693148,0,0,0,2013,12151,12152
1056,124,125,189,364264,4691282,0,0,NA,2013,4108,4109
984,125,126,191,382590,4690198,0,0,0,2013,7137,7138
1003,126,127,192,387174,4690340,0,1,0,2013,9021,9022
937,127,128,193,404665,4689399,0,0,0,2013,5141,5142
972,128,129,198,452637,4690118,0,0,0,2013,12773,12774
1006,129,130,199,455757,4690366,0,0,0,2013,62,63
925,130,131,200,493597,4689237,0,0,0,2013,8922,8923
1060,131,132,201,498675,4691309,0,0,0,2013,6005,6006
1033,132,133,203,510369,4690911,0,0,0,2013,12266,12267
951,133,134,204,513414,4689732,0,0,0,2013,12266,12267
966,134,135,205,521918,4690077,0,0,0,2013,12381,12382
1131,135,136,215,218908,4692862,0,0,0,2013,12739,12740
1284,136,137,216,225290,4695667,0,0,0,2013,8030,8031
1176,137,138,217,226203,4693931,0,0,0,2013,6820,6821
1119,138,139,218,232570,4692618,0,0,0,2013,7359,7360
1185,139,140,219,236129,4694055,0,0,0,2013,6297,6298
1213,140,141,220,238612,4694660,0,0,0,2013,2005,2006
1297,141,142,221,246843,4695905,0,0,0,2013,10863,10864
1304,142,143,222,251801,4695942,0,0,0,2013,7428,7429
1238,143,144,223,255494,4694990,0,0,0,2013,9392,9393
1314,144,145,224,269744,4696128,0,0,0,2013,199,200
1292,145,146,225,272563,4695824,0,0,0,2013,9850,9851
1159,146,147,228,363843,4693628,NA,NA,NA,2013,4960,4961
1167,147,148,229,396330,4693862,0,0,0,2013,11751,11752
1201,148,149,230,401495,4694453,0,0,0,2013,1696,1697
1164,149,150,231,405903,4693801,0,0,0,2013,10988,10989
1178,150,151,235,455147,4693946,0,0,0,2013,3761,3762
1247,151,152,238,492745,4695120,0,0,0,2013,5624,5625
1244,152,153,239,495008,4695053,0,0,1,2013,7050,7051
1257,153,154,240,499949,4695251,0,0,0,2013,9239,9240
1262,154,155,241,501471,4695311,0,0,0,2013,362,363
1279,155,156,242,510462,4695638,0,0,0,2013,630,631
1182,156,157,244,518851,4693991,0,0,0,2013,11570,11571
1268,157,158,245,521667,4695442,0,0,0,2013,4425,4426
1424,158,159,256,223877,4698554,0,0,0,2013,7842,7843
1436,159,160,257,226184,4698763,0,0,0,2013,2429,2430
1359,160,161,258,247507,4697588,0,0,0,2013,10863,10864
1469,161,162,259,250552,4699308,0,0,0,2013,3462,3463
1486,162,163,260,253557,4699868,0,0,0,2013,151,152
1456,163,164,261,266932,4699066,0,1,0,2013,5468,5469
1331,164,165,262,269529,4696701,0,0,0,2013,199,200
1352,165,166,264,386235,4697351,0,0,0,2013,12175,12176
1428,166,167,265,390633,4698564,0,0,0,2013,8723,8724
1349,167,168,266,393737,4697318,0,0,0,2013,3615,3616
1321,168,169,268,402547,4696394,0,0,0,2013,9575,9576
1379,169,170,269,406490,4698013,0,0,0,2013,2204,2205
1337,170,171,272,456642,4696803,0,0,0,2013,8108,8109
1453,171,172,276,513855,4698988,0,0,0,2013,11106,11107
1582,172,173,291,259133,4702049,0,0,0,2013,11825,11826
1536,173,174,292,261927,4701352,0,1,0,2013,5091,5092
1506,174,175,293,264426,4700475,0,0,0,2013,11909,11910
1590,175,176,302,389726,4702110,NA,NA,0,2013,7622,7623
1548,176,177,305,401976,4701652,0,0,0,2013,4933,4934
1638,177,178,306,407378,4703187,0,0,0,2013,3411,3412
1518,178,179,307,460317,4700806,0,0,0,2013,7207,7208
1656,179,180,308,464495,4703931,0,0,0,2013,4644,4645
1780,180,181,322,252298,4707360,0,0,0,2013,12030,12031
1706,181,182,323,255989,4705239,0,0,0,2013,8320,8321
1688,182,183,324,262536,4704955,0,0,0,2013,2791,2792
1682,183,184,325,267944,4704892,1,1,0,2013,6715,6716
1763,184,185,341,461420,4706562,0,0,0,2013,6601,6602
1850,185,186,354,254601,4709664,0,0,0,2013,3948,3949
1852,186,187,355,263523,4709672,0,0,0,2013,3496,3497
1884,187,188,366,459896,4710229,0,0,0,2013,8164,8165
1807,188,189,367,464557,4708742,0,0,0,2013,6093,6094
1941,189,190,382,464447,4712557,0,0,0,2013,291,292
2112,190,191,394,467797,4717482,0,0,0,2013,8007,8008
2188,191,192,408,466737,4720984,0,0,0,2013,3886,3887
33,192,193,1408,456028,4662213,0,0,0,2013,904,905
34,193,194,1411,468796,4662454,0,0,0,2013,2840,2841
53,194,195,1412,470603,4664123,0,0,0,2013,2172,2173
130,195,196,1413,455667,4668376,0,0,0,2013,8121,8122
95,196,197,1414,460875,4666481,0,0,0,2013,7634,7635
138,197,198,1415,463460,4668820,0,0,0,2013,2004,2005
108,198,199,1416,467586,4667690,0,0,0,2013,3791,3792
129,199,200,1417,470233,4668353,0,0,0,2013,7530,7531
144,200,201,1418,474298,4669228,0,0,0,2013,10361,10362
118,201,202,1419,480133,4668119,0,0,0,2013,2726,2727
94,202,203,1420,482767,4666468,0,0,0,2013,8881,8882
170,203,204,1421,456792,4671125,0,0,0,2013,431,432
225,204,205,1422,460890,4672581,0,0,0,2013,230,231
205,205,206,1423,463150,4671825,0,0,0,2013,9447,9448
210,206,207,1427,480509,4671932,0,0,0,2013,7552,7553
197,207,208,1428,483151,4671737,0,0,0,2013,3231,3232
142,208,209,1429,487887,4669149,0,1,0,2013,9517,9518
175,209,210,1430,492025,4671252,0,0,0,2013,5459,5460
143,210,211,1431,493438,4669204,0,0,0,2013,12227,12228
304,211,212,1432,464177,4675177,NA,NA,NA,2013,8060,8061
327,212,213,1438,494163,4676111,0,1,0,2013,3019,3020
378,213,214,1441,478018,4677931,0,0,0,2013,920,921
397,214,215,1442,483759,4678278,0,0,0,2013,8024,8025
437,215,216,1444,498545,4679096,0,0,0,2013,3509,3510
670,216,217,1445,470187,4683822,0,NA,0,2013,6520,6521
592,217,218,1446,482947,4682711,0,0,0,2013,1772,1773
568,218,219,1450,502737,4682450,1,NA,0,2013,3640,3641
754,219,220,1453,494777,4686127,0,0,0,2013,1657,1658
831,220,221,1455,510618,4686977,0,1,1,2013,584,585
1204,221,222,1465,505982,4694571,0,0,0,2013,8047,8048
154,222,223,1701,395577,4670197,0,0,0,2013,4771,4772
293,223,224,1702,392311,4674868,NA,0,0,2013,3004,3005
334,224,225,1703,397760,4676387,0,0,0,2013,4926,4927
450,225,226,1705,409844,4679370,0,0,NA,2013,2615,2616
405,226,227,1706,413676,4678601,0,0,0,2013,5133,5134
313,227,228,1707,428026,4675433,0,0,0,2013,5916,5917
261,228,229,1708,432178,4674122,0,0,0,2013,7253,7254
