,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
1,1,452678,4654105,0,0,0,0,2013,11292,11293
2,2,456117,4655209,0,0,0,0,2013,3710,3711
3,3,458283,4654783,0,0,0,0,2013,9488,9489
216,4,234868,4659186,0,0,0,0,2013,579,580
217,5,240906,4658779,0,0,0,0,2013,7341,7342
218,6,243391,4659556,0,0,1,1,2013,12936,12937
4,7,451781,4658948,0,0,0,0,2013,5326,5327
5,8,456025,4659255,NA,NA,0,0,2013,1805,1806
6,9,460328,4658569,1,0,0,0,2013,2432,2433
7,10,463533,4659508,0,0,0,0,2013,4760,4761
222,11,225064,4664630,0,1,0,0,2013,11642,11643
223,12,227416,4664663,0,0,0,0,2013,8784,8785
224,13,231289,4662867,0,0,0,0,2013,9135,9136
225,14,234556,4664434,0,0,0,0,2013,9683,9684
9,15,459204,4663088,0,0,0,0,2013,5021,5022
10,16,463436,4664539,0,0,0,1,2013,3527,3528
227,17,222354,4668171,0,0,0,0,2013,12530,12531
228,18,227200,4666404,0,0,0,0,2013,8784,8785
129,19,308730,4667375,NA,NA,NA,NA,2013,1407,1408
230,25,223608,4671708,0,0,0,0,2013,11665,11666
231,26,227678,4671789,0,0,0,0,2013,7356,7357
234,27,247011,4672344,0,0,0,0,2013,5075,5076
235,28,249286,4671213,0,0,0,0,2013,10866,10867
132,29,308935,4671569,0,0,0,0,2013,7320,7321
131,30,305008,4671460,0,0,0,NA,2013,9132,9133
24,32,469264,4669658,NA,NA,NA,0,2013,7317,7318
25,33,473368,4671309,0,NA,NA,0,2013,7864,7865
26,34,474007,4670880,0,0,0,0,2013,7864,7865
236,42,226656,4676400,0,0,0,0,2013,5534,5535
135,44,297181,4674817,0,0,0,0,2013,11951,11952
136,45,301518,4674064,0,0,0,0,2013,4133,4134
137,46,303568,4674198,0,0,0,0,2013,3203,3204
138,47,311978,4674238,0,0,NA,0,2013,7947,7948
139,48,317606,4673745,0,0,NA,0,2013,2394,2395
141,50,328185,4674947,0,0,0,0,2013,9701,9702
142,51,332499,4674423,0,0,0,0,2013,12384,12385
143,52,335942,4674069,0,0,NA,NA,2013,6182,6183
33,54,467419,4673321,0,0,0,1,2013,12192,12193
34,55,472751,4673928,0,NA,0,0,2013,8901,8902
35,56,477183,4676203,0,0,0,0,2013,920,921
36,57,478730,4675441,0,0,0,0,2013,6175,6176
37,58,481877,4674153,0,0,0,0,2013,5803,5804
238,63,255587,4678131,0,0,0,0,2013,11785,11786
239,64,258770,4677105,0,0,0,0,2013,3834,3835
149,65,301106,4679688,0,0,0,0,2013,2614,2615
150,67,324359,4680466,NA,0,0,0,2013,2482,2483
151,68,328277,4679741,0,1,0,0,2013,12093,12094
152,69,331609,4679632,0,0,0,0,2013,6087,6088
153,70,335550,4678226,0,0,NA,1,2013,4055,4056
155,72,342962,4678610,0,0,0,0,2013,3880,3881
171,73,346558,4678262,0,0,0,0,2013,9857,9858
179,75,378559,4679104,0,NA,0,NA,2013,12728,12729
180,76,382145,4678870,0,0,0,0,2013,4994,4995
73,77,398513,4678815,0,0,NA,NA,2013,4926,4927
83,78,440180,4678907,0,0,0,0,2013,3412,3413
84,79,444261,4679592,0,0,0,0,2013,7444,7445
85,80,448243,4678206,0,0,0,0,2013,796,797
86,81,452022,4679914,0,0,0,0,2013,7452,7453
39,82,469029,4679893,0,NA,NA,0,2013,4694,4695
40,83,470386,4680092,NA,NA,1,0,2013,8873,8874
43,85,488147,4678442,0,0,0,0,2013,8278,8279
241,90,226233,4682752,0,0,1,0,2013,1323,1324
242,92,234630,4683355,0,0,0,0,2013,10710,10711
158,93,289919,4682303,0,0,0,0,2013,7677,7678
159,94,292872,4683529,0,0,0,0,2013,10523,10524
160,95,297709,4682894,0,0,0,0,2013,2047,2048
161,96,300952,4681839,NA,0,0,0,2013,2614,2615
165,97,325485,4683039,0,0,0,0,2013,2354,2355
166,98,328478,4682046,0,0,1,0,2013,12093,12094
167,99,332442,4682592,0,0,0,0,2013,1848,1849
168,100,335395,4682980,0,0,1,0,2013,10713,10714
169,102,343169,4683209,0,0,0,0,2013,235,236
178,103,379882,4682649,0,0,0,0,2013,10106,10107
181,104,381552,4682064,0,0,0,0,2013,2993,2994
89,105,394475,4682060,0,0,0,0,2013,12116,12117
90,106,398237,4681642,0,0,0,0,2013,5037,5038
91,107,410480,4681913,0,0,0,0,2013,2615,2616
88,108,435724,4683092,0,0,0,0,2013,461,462
95,109,440414,4682538,1,0,0,1,2013,6825,6826
96,110,443537,4681786,1,1,1,0,2013,12780,12781
97,111,448436,4683002,1,0,0,0,2013,7370,7371
98,112,451237,4682348,1,1,1,0,2013,5883,5884
99,113,456230,4681845,0,0,0,0,2013,1710,1711
47,117,486394,4682040,0,0,0,0,2013,6391,6392
48,118,492058,4683265,1,0,0,0,2013,12280,12281
49,119,495440,4682431,1,0,0,0,2013,12905,12906
247,126,226432,4685319,1,0,1,0,2013,1323,1324
248,127,232197,4688201,0,0,0,0,2013,5475,5476
253,128,269517,4687171,0,0,1,0,2013,3774,3775
156,129,285822,4686012,0,0,0,0,2013,606,607
157,130,289095,4685927,0,0,0,0,2013,2469,2470
162,132,301690,4686356,0,0,0,0,2013,11174,11175
188,135,325578,4685874,0,0,0,0,2013,6306,6307
189,136,329833,4686969,0,0,0,0,2013,2879,2880
191,137,332105,4684505,0,0,0,0,2013,1848,1849
192,138,335538,4686876,0,0,0,1,2013,3396,3397
198,139,361836,4684774,0,0,NA,NA,2013,6756,6757
199,140,366786,4687171,0,0,0,0,2013,12862,12863
183,142,378550,4686975,0,0,0,0,2013,5573,5574
184,143,382020,4686010,0,0,0,1,2013,8944,8945
203,144,386231,4686087,0,0,0,0,2013,7474,7475
92,145,395659,4688343,0,0,0,0,2013,11024,11025
93,146,398954,4685866,0,0,1,0,2013,2124,2125
94,147,406263,4687371,0,0,0,0,2013,7379,7380
108,148,409535,4687692,1,0,0,0,2013,11212,11213
109,149,413370,4687689,0,0,0,0,2013,2286,2287
100,150,445272,4686525,0,NA,0,0,2013,7195,7196
101,151,449715,4687282,0,0,0,1,2013,8467,8468
51,152,481415,4686857,0,0,0,0,2013,1339,1340
52,154,491344,4686277,0,0,0,0,2013,9630,9631
54,156,499436,4686428,0,0,1,0,2013,10456,10457
254,169,219935,4690638,0,0,0,1,2013,4012,4013
255,170,224702,4691985,1,0,0,0,2013,3042,3043
256,171,229311,4691426,1,1,0,0,2013,3130,3131
257,172,230441,4690391,0,0,0,1,2013,3130,3131
258,173,233733,4688748,0,0,0,0,2013,706,707
260,174,250980,4689157,0,1,0,1,2013,1542,1543
261,175,255373,4689244,0,0,0,1,2013,10968,10969
264,177,266232,4691891,0,0,0,0,2013,4236,4237
265,178,269638,4690444,0,0,1,0,2013,6148,6149
190,184,329384,4689633,0,0,0,0,2013,4554,4555
193,185,332794,4691738,0,0,0,0,2013,1615,1616
194,186,335770,4689490,0,0,0,0,2013,9010,9011
200,188,359183,4693148,1,0,0,1,2013,12151,12152
201,189,364264,4691282,0,0,NA,0,2013,4108,4109
205,191,382590,4690198,0,0,0,0,2013,7137,7138
206,192,387174,4690340,0,1,0,0,2013,9021,9022
112,193,404665,4689399,0,0,0,0,2013,5141,5142
102,198,452637,4690118,0,0,0,1,2013,12773,12774
103,199,455757,4690366,1,0,0,0,2013,62,63
56,200,493597,4689237,0,0,0,0,2013,8922,8923
57,201,498675,4691309,0,0,0,0,2013,6005,6006
58,203,510369,4690911,0,0,0,0,2013,12266,12267
59,204,513414,4689732,0,0,0,0,2013,12266,12267
60,205,521918,4690077,0,0,0,1,2013,12381,12382
266,215,218908,4692862,0,0,0,0,2013,12739,12740
267,216,225290,4695667,1,0,0,0,2013,8030,8031
268,217,226203,4693931,0,0,0,0,2013,6820,6821
269,218,232570,4692618,0,0,1,0,2013,7359,7360
270,219,236129,4694055,0,0,0,1,2013,6297,6298
271,220,238612,4694660,0,1,0,0,2013,2005,2006
272,221,246843,4695905,0,0,0,0,2013,10863,10864
273,222,251801,4695942,0,0,0,0,2013,7428,7429
274,223,255494,4694990,0,0,0,0,2013,9392,9393
278,224,269744,4696128,0,0,0,0,2013,199,200
279,225,272563,4695824,0,0,0,0,2013,9850,9851
202,228,363843,4693628,NA,NA,NA,NA,2013,4960,4961
113,229,396330,4693862,0,0,1,0,2013,11751,11752
114,230,401495,4694453,1,0,0,0,2013,1696,1697
115,231,405903,4693801,0,0,0,0,2013,10988,10989
105,235,455147,4693946,0,1,1,1,2013,3761,3762
61,238,492745,4695120,0,0,0,0,2013,5624,5625
