"","FID","FID_allPOd","Field1","X","SOURCE_ID","SOURCE_NAM","DATE","Month","Year","Day","Week1","Week","TIME","Lat","Long","SPECIES","FID_allNY_OG","FID_allNY_10km","Id","Shape_Leng","Shape_Area","FID_","Deciduous","duplicate"
"1",0,15,8455,8455,"GBIF_CAMILLO_10954","GBIF","3-Sep-20",9,2020,246,35.14285714,35,NA,41.03831,-73.717433,"Lynx rufus",6242,6243,0,12649.1106,9999999.937,6243,92.23941466,FALSE
"3",2,220,92163,92163,"emammal_d62949d62949s21","Snapshot USA - 2019; emammal.si.edu","9/14/2019",9,2019,256,36.57142857,36,"1:49:43 AM",41.17446,-73.61639,"Lynx rufus",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,FALSE
"4",3,13,8453,8453,"GBIF_CAMILLO_10952","GBIF","29-Sep-21",9,2021,271,38.71428571,38,NA,41.17785,-73.868899,"Lynx rufus",1110,1111,0,12649.1106,9999999.937,1111,58.31384542,FALSE
"6",5,5,8445,8445,"GBIF_CAMILLO_10944","GBIF","3-Aug-16",8,2016,215,30.71428571,30,NA,41.221277,-73.562651,"Lynx rufus",3380,3381,0,12649.1106,9999999.937,3381,121.675512,FALSE
"7",6,36,8476,8476,"GBIF_CAMILLO_10975","GBIF","28-Dec-21",12,2021,361,51.57142857,51,NA,41.222135,-73.562627,"Lynx rufus",3380,3381,0,12649.1106,9999999.937,3381,121.675512,FALSE
"8",7,23,8463,8463,"GBIF_CAMILLO_10962","GBIF","29-Mar-21",3,2021,87,12.42857143,12,NA,41.226883,-73.656754,"Lynx rufus",11858,11859,0,12649.1106,9999999.937,11859,131.5521171,FALSE
"17",16,117,8602,8602,"GBIF_CAMILLO_11111","GBIF","9-Jun-19",6,2019,159,22.71428571,22,NA,41.236252,-74.395506,"Lynx rufus",379,380,0,10338.03027,5310084.957,380,106.9896116,FALSE
"25",24,110,8595,8595,"GBIF_CAMILLO_11104","GBIF","12-Mar-18",3,2018,70,10,10,NA,41.244011,-73.588857,"Lynx rufus",9064,9065,0,12649.1106,9999999.937,9065,75.85979431,FALSE
"61",60,6,8446,8446,"GBIF_CAMILLO_10945","GBIF","20-Oct-15",10,2015,292,41.71428571,41,NA,41.269264,-74.23895,"Lynx rufus",7064,7065,0,12649.1108,10000000.25,7065,53.12228318,FALSE
"64",63,18,8458,8458,"GBIF_CAMILLO_10957","GBIF","4-Aug-21",8,2021,215,30.71428571,30,NA,41.272207,-73.552737,"Lynx rufus",2713,2714,0,10757.29793,6001841.543,2714,140.0169839,FALSE
"68",67,106,8591,8591,"GBIF_CAMILLO_11100","GBIF","22-Mar-17",3,2017,80,11.42857143,11,NA,41.2904,-73.611183,"Lynx rufus",9183,9184,0,12649.1106,9999999.937,9184,135.2040052,FALSE
"69",68,14,8454,8454,"GBIF_CAMILLO_10953","GBIF","5-Mar-18",3,2018,63,9,9,NA,41.305294,-73.571076,"Lynx rufus",8016,8017,0,12649.1106,9999999.937,8017,102.3333933,FALSE
"70",69,40,8480,8480,"GBIF_CAMILLO_10979","GBIF","9-Sep-21",9,2021,251,35.85714286,35,NA,41.371111,-74.099167,"Lynx rufus",8701,8702,0,12649.1106,9999999.937,8702,78.61126102,FALSE
"71",70,167,90873,90873,"emammal_d59746d59746s39","Snapshot USA - 2019; emammal.si.edu","9/19/2019",9,2019,261,37.28571429,37,"5:09:41 PM",41.38233,-74.03629,"Lynx rufus",9174,9175,0,12649.1106,9999999.937,9175,44.39847708,FALSE
"72",71,166,90711,90711,"emammal_d59744d59744s26","Snapshot USA - 2019; emammal.si.edu","10/23/2019",10,2019,295,42.14285714,42,"8:45:46 AM",41.39497,-74.03509,"Lynx rufus",9174,9175,0,12649.1106,9999999.937,9175,44.39847708,FALSE
"73",72,164,90603,90603,"emammal_d59743d59743s137","Snapshot USA - 2019; emammal.si.edu","10/18/2019",10,2019,290,41.42857143,41,"7:25:30 PM",41.39893,-74.02895,"Lynx rufus",9174,9175,0,12649.1106,9999999.937,9175,44.39847708,FALSE
"75",74,163,90519,90519,"emammal_d59739d59739s71","Snapshot USA - 2019; emammal.si.edu","10/3/2019",10,2019,275,39.28571429,39,"5:54:15 AM",41.40343,-74.03687,"Lynx rufus",9174,9175,0,12649.1106,9999999.937,9175,44.39847708,FALSE
"76",75,165,90631,90631,"emammal_d59736d59736s40","Snapshot USA - 2019; emammal.si.edu","9/17/2019",9,2019,259,37,37,"11:31:55 PM",41.40709,-74.01556,"Lynx rufus",9339,9340,0,12649.1106,9999999.937,9340,71.98536907,FALSE
"77",76,162,90386,90386,"emammal_d59740d59740s82","Snapshot USA - 2019; emammal.si.edu","9/29/2019",9,2019,271,38.71428571,38,"6:58:57 PM",41.41109,-74.02357,"Lynx rufus",9339,9340,0,12649.1106,9999999.937,9340,71.98536907,FALSE
"78",77,139,8625,8625,"GBIF_CAMILLO_11134","GBIF","18-Jan-19",1,2019,17,2.428571429,2,NA,41.465402,-73.934719,"Lynx rufus",612,613,0,12649.1106,9999999.937,613,34.08579908,FALSE
"81",80,95,8576,8576,"GBIF_CAMILLO_11085","GBIF","19-Mar-19",3,2019,77,11,11,NA,41.689777,-74.371511,"Lynx rufus",2952,2953,0,12649.1106,9999999.937,2953,52.9029164,FALSE
"82",81,94,8575,8575,"GBIF_CAMILLO_11084","GBIF","20-Oct-20",10,2020,293,41.85714286,41,NA,41.728325,-73.574495,"Lynx rufus",1974,1975,0,12649.1106,9999999.937,1975,74.75710687,FALSE
"83",82,37,8477,8477,"GBIF_CAMILLO_10976","GBIF","17-Dec-18",12,2018,350,50,50,NA,41.729864,-73.584116,"Lynx rufus",9054,9055,0,12649.1106,9999999.937,9055,45.01019551,FALSE
"116",115,82,8548,8548,"GBIF_CAMILLO_11047","GBIF","22-May-15",5,2015,141,20.14285714,20,NA,41.754,-74.153,"Lynx rufus",3166,3167,0,12649.1106,9999999.937,3167,33.45925526,FALSE
"117",116,86,8552,8552,"GBIF_CAMILLO_11051","GBIF","18-Feb-21",2,2021,48,6.857142857,6,NA,41.777472,-73.585905,"Lynx rufus",10417,10418,0,12649.1106,9999999.937,10418,69.55687474,FALSE
"118",117,122,8607,8607,"GBIF_CAMILLO_11116","GBIF","23-Dec-20",12,2020,357,51,51,NA,41.77765,-73.585157,"Lynx rufus",10417,10418,0,12649.1106,9999999.937,10418,69.55687474,FALSE
"119",118,115,8600,8600,"GBIF_CAMILLO_11109","GBIF","27-Jun-21",6,2021,177,25.28571429,25,NA,41.86337,-73.645581,"Lynx rufus",1291,1292,0,12649.1106,9999999.937,1292,57.5043473,FALSE
"121",120,28,8468,8468,"GBIF_CAMILLO_10967","GBIF","30-Jan-20",1,2020,29,4.142857143,4,NA,41.881306,-73.510181,"Lynx rufus",12750,12751,0,12649.1106,9999999.937,12751,71.93187611,FALSE
"122",121,125,8610,8610,"GBIF_CAMILLO_11119","GBIF","8-Nov-21",11,2021,311,44.42857143,44,NA,41.963584,-73.879908,"Lynx rufus",9700,9701,0,12649.1106,9999999.937,9701,105.9842897,FALSE
"123",122,131,8616,8616,"GBIF_CAMILLO_11125","GBIF","16-Dec-19",12,2019,349,49.85714286,49,NA,42.003549,-79.08619,"Lynx rufus",8078,8079,0,10972.3458,7325359.07,8079,51.88195214,FALSE
"124",123,158,84583,84583,"NYS Nuisance Wildlife Complaint_17447","NYS Nuisance Wildlife Complaint","5/15/2019",5,2019,134,19.14285714,19," ",42.01874,-73.87852,"Lynx rufus",9668,9669,0,12649.1106,9999999.937,9669,63.95610327,FALSE
"125",124,136,8622,8622,"GBIF_CAMILLO_11131","GBIF","11-Mar-19",3,2019,69,9.857142857,9,NA,42.040426,-75.023254,"Lynx rufus",10379,10380,0,12649.1106,9999999.937,10380,51.80321971,FALSE
"126",125,26,8466,8466,"GBIF_CAMILLO_10965","GBIF","14-Dec-19",12,2019,347,49.57142857,49,NA,42.109757,-79.034302,"Lynx rufus",7761,7762,0,12649.1108,10000000.25,7762,69.49830162,FALSE
