FID,Station,o1,o2,o3,o4,o5,year,utm_x,utm_y,FID_allNY_,FID_allNY_10km
156,3A1,0,0,0,1,1,2016,526306,4655430,1577,1578
144,3A2,1,0,1,1,1,2016,530055,4653839,11456,11457
140,3A3,1,1,0,0,1,2016,533509,4653328,1418,1419
131,3A4,1,1,1,1,1,2016,534416,4652202,1418,1419
125,3A5,1,1,1,1,1,2016,531192,4651184,11456,11457
121,3A6,1,1,1,1,1,2016,523571,4651105,8420,8421
92,3A7,0,1,0,NA,NA,2016,524532,4643677,1613,1614
95,3A8,0,NA,0,1,1,2016,530248,4644569,2495,2496
106,3A9,1,1,1,NA,1,2016,535313,4648096,488,489
70,3B1,1,1,1,0,1,2016,548596,4637130,5837,5838
77,3B2,0,1,0,1,1,2016,545748,4640319,12389,12390
85,3B3,1,1,1,1,1,2016,540750,4642216,4496,4497
99,3B4,1,1,1,0,1,2016,545756,4646589,10317,10318
83,3B5,1,0,0,0,1,2016,549718,4641515,1795,1796
75,3B6,0,1,1,0,1,2016,552511,4638677,11679,11680
89,3B7,NA,1,0,1,1,2016,555686,4642960,1493,1494
111,3B8,NA,1,1,NA,1,2016,543105,4648865,5520,5521
65,3B9,1,0,1,0,0,2016,548696,4633810,9982,9983
47,3C1,NA,1,1,0,1,2016,522456,4602456,12556,12557
35,3C2,1,1,0,1,1,2016,526644,4600421,7673,7674
0,3C3,1,0,1,0,1,2016,521156,4588541,11861,11862
13,3C4,0,1,1,NA,1,2016,510187,4595105,8343,8344
19,3C5,1,1,1,0,0,2016,529291,4596490,12864,12865
22,3C6,0,0,0,0,0,2016,519977,4596541,11060,11061
49,3C7,1,1,0,1,0,2016,517639,4603018,10899,10900
3,3C8,1,NA,1,1,NA,2016,519845,4592144,8190,8191
38,3C9,1,0,0,0,1,2016,515791,4600516,9596,9597
61,3D1,1,1,1,1,1,2016,549453,4610685,7911,7912
16,3D2,0,0,0,0,0,2016,546005,4595293,1061,1062
55,3D3,0,NA,0,0,1,2016,553642,4605576,5324,5325
29,3D4,0,0,0,1,0,2016,540905,4598375,4354,4355
44,3D5,0,0,1,0,1,2016,550124,4600944,595,596
39,3D6,0,1,0,0,0,2016,553139,4600533,4334,4335
10,3D7,1,0,0,0,0,2016,552335,4593863,9267,9268
58,3D8,0,0,0,0,1,2016,557969,4607251,8124,8125
53,3D9,1,0,NA,NA,0,2016,546030,4603884,9954,9955
661,4A1,NA,0,0,0,0,2016,496009,4719618,12482,12483
671,4A2,0,1,0,0,0,2016,497110,4723005,7650,7651
658,4A3,0,0,0,0,0,2016,500194,4717961,11286,11287
610,4A4,0,0,0,0,0,2016,497296,4712995,10033,10034
