"","X","FID","Field1","Species","Method","latitude","longitude","Month","Day","Week","Year","Date","Time","source","FID_allNY1","FID_allNY_10km","duplicate"
"1",1,2736,0,"Ursus arctos","iSeeMammals",43.76691,-74.80916,7,9,27,2018,"7/9/2018","10:40:39.000Z","one-off",5,6,FALSE
"2",2,1423,0,"Ursus arctos","iSeeMammals",41.26662,-74.11006,6,2,21,2018,"6/2/2018","11:05:04.000Z","one-off",61,62,FALSE
"3",3,2310,0,"Ursus arctos","iSeeMammals",42.19831,-74.18373,11,14,45,2017,"11/14/2017","18:49:38.244Z","one-off",73,74,FALSE
"4",4,2106,0,"Ursus arctos","iSeeMammals",42.01063,-75.10786,9,20,37,2018,"9/20/2018","19:46:26.598Z","one-off",77,78,FALSE
"6",6,1645,0,"Ursus arctos","iSeeMammals",41.3111,-74.03109,9,25,38,2018,"9/25/2018","22:21:32.000Z","one-off",94,95,FALSE
"7",7,1076,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,1,39,2017,"10/1/2017","23:03:47.000Z","one-off",135,136,FALSE
"8",8,1035,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,26,38,2017,"9/26/2017","19:17:47.000Z","one-off",145,146,FALSE
"9",9,985,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","15:21:44.000Z"," ",167,168,FALSE
"10",10,1403,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,7,22,2018,"6/7/2018","22:57:08.000Z","one-off",205,206,FALSE
"11",13,1016,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:37:41.000Z"," ",214,215,FALSE
"12",15,2458,0,"Ursus arctos","iSeeMammals",42.36271,-75.04151,7,29,29,2018,"7/29/2018","14:00:00.000Z"," ",261,262,FALSE
"13",16,2467,0,"Ursus arctos","iSeeMammals",42.37722,-78.61567,6,18,24,2017,"6/18/2017","07:25:00.000Z","camera",261,262,FALSE
"14",17,2643,0,"Ursus arctos","iSeeMammals",42.76683,-73.43092,7,22,28,2017,"7/22/2017","04:35:00.000Z","camera",261,262,FALSE
