Station,year,julianset,juliancheck1,juliancheck2
1,2013,2,9,16
2,2013,2,9,16
3,2013,2,9,16
4,2013,2,9,16
5,2013,2,9,16
6,2013,2,9,16
7,2013,2,9,16
8,2013,2,9,16
9,2013,2,9,16
10,2013,3,10,17
11,2013,3,10,17
12,2013,3,10,17
13,2013,3,10,17
14,2013,3,10,17
15,2013,3,10,17
16,2013,3,10,17
17,2013,4,11,18
18,2013,4,11,18
19,2013,2,9,16
25,2013,4,11,18
26,2013,4,11,18
27,2013,7,14,22
28,2013,7,14,22
29,2013,2,9,16
30,2013,2,9,16
32,2013,31,38,45
33,2013,31,38,45
34,2013,32,42,46
42,2013,7,14,22
44,2013,3,10,17
45,2013,3,10,17
46,2013,3,10,17
47,2013,3,10,17
48,2013,4,11,18
50,2013,4,11,18
51,2013,4,11,18
52,2013,4,11,18
54,2013,31,38,45
55,2013,31,38,45
56,2013,32,42,46
57,2013,32,42,46
58,2013,35,43,50
63,2013,8,15,22
64,2013,8,15,22
65,2013,7,14,21
67,2013,7,14,21
68,2013,8,15,22
69,2013,8,15,22
70,2013,8,15,22
72,2013,8,15,22
73,2013,32,39,46
75,2013,35,42,49
76,2013,36,43,50
77,2013,2,9,16
78,2013,4,11,18
79,2013,4,11,18
80,2013,4,11,18
81,2013,4,11,18
82,2013,31,38,45
83,2013,31,38,45
85,2013,32,42,46
90,2013,8,15,22
92,2013,8,15,22
93,2013,30,37,44
94,2013,30,37,44
95,2013,30,37,44
96,2013,30,37,44
97,2013,31,38,45
98,2013,31,38,45
99,2013,31,38,45
100,2013,32,39,46
102,2013,32,39,46
103,2013,35,42,49
104,2013,36,43,50
105,2013,30,37,44
106,2013,30,37,44
107,2013,30,37,44
108,2013,4,11,18
109,2013,31,38,45
110,2013,31,38,45
111,2013,31,38,45
112,2013,31,38,45
113,2013,31,38,45
117,2013,59,66,73
118,2013,59,66,73
119,2013,59,66,73
126,2013,30,37,44
127,2013,30,37,44
128,2013,31,38,45
129,2013,30,37,44
130,2013,30,37,44
132,2013,31,37,44
135,2013,58,65,72
136,2013,58,65,72
137,2013,59,66,73
138,2013,59,66,73
139,2013,60,67,74
140,2013,60,67,74
142,2013,36,43,50
143,2013,36,43,50
144,2013,63,70,77
145,2013,30,37,44
146,2013,30,37,44
147,2013,30,37,44
148,2013,58,65,72
149,2013,58,65,72
150,2013,31,38,45
151,2013,32,39,46
152,2013,59,66,73
154,2013,59,66,73
156,2013,60,67,74
169,2013,31,38,45
170,2013,32,39,46
171,2013,32,39,46
172,2013,32,39,46
173,2013,32,39,46
174,2013,32,39,46
175,2013,35,42,50
177,2013,35,42,50
178,2013,35,42,50
184,2013,58,65,72
185,2013,59,66,73
186,2013,59,66,73
188,2013,60,67,74
189,2013,60,67,74
191,2013,63,70,77
192,2013,63,70,77
193,2013,58,65,72
198,2013,32,39,46
199,2013,32,39,46
200,2013,59,66,73
201,2013,60,67,74
203,2013,60,67,74
204,2013,63,70,77
205,2013,63,70,77
215,2013,35,42,50
216,2013,36,43,50
217,2013,36,43,50
218,2013,36,43,50
219,2013,36,43,50
220,2013,36,43,50
221,2013,58,65,72
222,2013,58,65,72
223,2013,58,65,72
224,2013,59,66,73
225,2013,59,66,73
228,2013,60,67,74
229,2013,58,65,72
230,2013,59,66,73
231,2013,59,66,73
235,2013,32,39,46
238,2013,59,66,73
239,2013,60,67,74
240,2013,60,67,74
241,2013,60,67,74
242,2013,63,70,77
244,2013,63,70,77
245,2013,63,70,77
256,2013,59,66,73
257,2013,59,66,73
258,2013,59,66,73
259,2013,60,67,74
260,2013,60,67,74
261,2013,60,67,74
262,2013,60,67,74
264,2013,63,71,78
265,2013,63,71,78
266,2013,63,71,78
268,2013,59,66,73
269,2013,59,66,73
272,2013,32,39,46
276,2013,63,70,77
291,2013,63,70,77
292,2013,63,70,77
293,2013,63,70,77
302,2013,63,71,78
305,2013,59,66,73
306,2013,59,66,73
307,2013,32,39,46
308,2013,60,67,74
322,2013,63,70,77
323,2013,63,70,77
324,2013,63,70,77
325,2013,64,71,78
341,2013,60,67,74
354,2013,64,71,78
355,2013,64,71,78
366,2013,60,67,74
367,2013,60,67,74
382,2013,60,67,74
394,2013,60,67,74
408,2013,60,67,74
1408,2013,3,10,17
1411,2013,3,10,17
1412,2013,3,10,17
1413,2013,4,11,18
1414,2013,4,11,18
1415,2013,4,11,18
1416,2013,4,11,18
1417,2013,4,11,18
1418,2013,4,11,18
1419,2013,7,14,22
1420,2013,7,14,22
1421,2013,7,14,22
1422,2013,7,14,22
1423,2013,7,14,22
1427,2013,32,42,46
1428,2013,35,43,50
1429,2013,35,43,50
1430,2013,35,43,50
1431,2013,35,43,50
1432,2013,31,38,45
1438,2013,35,43,50
1441,2013,32,42,46
1442,2013,32,42,46
1444,2013,35,43,50
1445,2013,31,38,45
1446,2013,32,42,46
1450,2013,60,67,74
1453,2013,59,66,73
1455,2013,60,67,74
1465,2013,63,70,77
1701,2013,2,9,16
1702,2013,2,9,16
1703,2013,2,9,16
1705,2013,2,9,16
1706,2013,2,9,16
1707,2013,3,10,17
1708,2013,3,10,17
1709,2013,3,10,17
1710,2013,3,10,17
1711,2013,3,10,17
1712,2013,3,10,17
1713,2013,4,11,18
1718,2013,4,11,18
1735,2013,32,39,46
1741,2013,58,65,72
1742,2013,58,65,72
1801,2013,2,9,16
1802,2013,2,9,16
1804,2013,2,9,16
1807,2013,3,10,17
1808,2013,3,10,17
1814,2013,4,11,18
1818,2013,4,11,18
1819,2013,7,14,21
1820,2013,7,14,21
1821,2013,7,14,21
1822,2013,7,14,21
1828,2013,8,15,22
1837,2013,31,38,45
1838,2013,31,38,45
1844,2013,32,39,46
1846,2013,32,39,46
1847,2013,32,39,46
1848,2013,35,42,49
1849,2013,35,42,49
1850,2013,35,42,49
1851,2013,35,42,49
1856,2013,36,43,50
1859,2013,58,65,72
1860,2013,58,65,72
1861,2013,58,65,72
1869,2013,59,66,73
1870,2013,59,66,73
1871,2013,60,67,74
1878,2013,63,70,77
1881,2013,63,70,77
1882,2013,63,70,77
1883,2013,63,71,78
1901,2013,2,9,16
1902,2013,2,9,16
1906,2013,2,9,16
1907,2013,3,10,17
1908,2013,3,10,17
1913,2013,4,11,18
1916,2013,4,11,18
1919,2013,7,14,22
1920,2013,7,14,22
1924,2013,7,14,22
1927,2013,8,15,22
1930,2013,30,37,44
1931,2013,30,37,44
1932,2013,30,37,44
1933,2013,30,37,44
1936,2013,31,38,45
1937,2013,31,38,45
1938,2013,31,38,45
1939,2013,31,38,45
1946,2013,32,39,46
1949,2013,35,42,50
1950,2013,35,42,50
1962,2013,58,65,72
1963,2013,58,65,72
1964,2013,58,65,72
1967,2013,59,66,73
1973,2013,60,67,74
1974,2013,60,67,74
1986,2013,64,71,78
1987,2013,64,71,78
1,2014,62,69,76
2,2014,62,69,76
3,2014,62,69,76
4,2014,64,71,78
5,2014,64,71,78
6,2014,64,71,78
7,2014,62,69,76
8,2014,62,69,76
9,2014,62,69,76
10,2014,62,69,76
11,2014,64,71,78
12,2014,64,71,78
13,2014,64,71,78
14,2014,64,71,78
15,2014,62,69,76
16,2014,62,69,76
17,2014,63,70,77
18,2014,63,70,77
19,2014,64,72,78
20,2014,64,72,78
21,2014,66,73,80
22,2014,66,73,80
23,2014,66,73,80
24,2014,66,73,80
25,2014,63,70,77
26,2014,63,70,77
27,2014,62,69,76
28,2014,62,69,76
29,2014,64,72,78
30,2014,64,72,78
31,2014,43,50,56
32,2014,63,70,77
33,2014,63,70,77
34,2014,66,73,80
35,2014,66,73,80
36,2014,66,73,80
37,2014,66,73,80
38,2014,65,72,79
39,2014,65,72,79
40,2014,65,72,79
41,2014,63,70,77
42,2014,62,69,76
43,2014,64,72,78
44,2014,64,72,78
45,2014,64,72,78
46,2014,64,72,78
47,2014,63,70,77
48,2014,63,70,77
49,2014,63,70,77
50,2014,64,70,77
51,2014,44,51,57
52,2014,24,30,37
53,2014,63,70,77
54,2014,63,70,77
55,2014,63,70,77
56,2014,63,70,77
57,2014,64,71,78
58,2014,65,72,79
59,2014,65,72,79
60,2014,65,72,79
61,2014,62,69,76
62,2014,62,69,76
63,2014,62,69,76
64,2014,65,73,79
65,2014,65,72,79
66,2014,63,70,76
67,2014,63,70,77
68,2014,63,70,77
69,2014,44,51,57
70,2014,44,51,57
71,2014,43,51,57
72,2014,43,51,57
73,2014,43,50,56
74,2014,42,49,55
75,2014,42,49,55
76,2014,65,72,79
77,2014,44,52,58
78,2014,44,52,58
79,2014,43,51,57
80,2014,43,51,57
81,2014,64,71,78
82,2014,64,71,78
83,2014,64,71,78
84,2014,64,71,78
85,2014,44,51,58
86,2014,44,51,58
87,2014,43,50,57
88,2014,43,50,57
89,2014,63,70,77
90,2014,63,70,77
91,2014,62,69,76
92,2014,66,73,80
93,2014,66,73,80
94,2014,66,73,80
95,2014,65,72,79
96,2014,62,69,76
97,2014,62,69,77
98,2014,63,70,77
99,2014,44,51,57
100,2014,44,51,57
101,2014,43,51,57
102,2014,42,49,55
103,2014,42,49,55
104,2014,65,72,79
105,2014,65,72,79
106,2014,65,72,79
107,2014,44,52,58
108,2014,44,52,58
109,2014,44,52,58
110,2014,43,51,57
111,2014,43,51,57
112,2014,43,51,57
113,2014,64,71,78
114,2014,64,71,78
115,2014,64,71,79
116,2014,65,72,79
117,2014,65,72,79
118,2014,65,72,79
119,2014,45,52,59
120,2014,45,52,59
121,2014,45,52,59
122,2014,44,51,58
123,2014,44,51,58
124,2014,43,50,57
125,2014,41,48,55
126,2014,41,48,55
